,KKTOWN 用戶,重覆檢查,誰做的,回覆(Y/N),備註,,,
,b336327,1,-,,,,,
,m422540,1,-,,,,,
,f314090,1,-,,,,,
,k432826,1,-,,,,,
,a398435,1,-,,,,,
,b474696,1,-,,,,,
,f369508,1,-,,,,,
,d511201,1,-,,,,,
,c342276,1,-,,,,,
,f5211837,1,-,,,,,
,b333027,1,-,,,,,
,g118894,1,-,,,,,
,k225322,1,-,,,,,
,g346550,1,-,,,,,
,k437930,1,-,,,,,
,a388029,1,-,,,,,
,f431834,1,-,,,,,
,d537007,1,-,,,,,
,a326473,1,-,,,,,
,a303670,1,-,,,,,
,e518968,1,-,,,,,
,c334917,1,-,,,,,
,a307916,1,-,,,,,
,k448534,1,-,,,,,
,e434741,1,-,,,,,
,b463729,1,-,,,,,
,b344049,1,-,,,,,
,k182246,1,-,,,,,
,e559558,1,-,,,,,
,e399893,1,-,,,,,
,g305740,1,-,,,,,
,b485267,1,-,,,,,
,e372030,1,-,,,,,
,f336453,1,-,,,,,
,j380303,1,-,,,,,
,h580327,1,-,,,,,
,d475143,1,-,,,,,
,e437370,1,-,,,,,
,m279870,1,-,,,,,
,j438328,1,-,,,,,
,c374352,1,-,,,,,
,e563848,1,-,,,,,
,b481274,1,-,,,,,
,g204232,1,-,,,,,
,h576906,1,-,,,,,
,g175918,1,-,,,,,
,h455422,1,-,,,,,
,k280410,1,-,,,,,
,d367695,1,-,,,,,
,e548184,1,-,,,,,
,m4344341,1,-,,,,,
,k294303,1,-,,,,,
,h361339,1,-,,,,,
,c154352,1,-,,,,,
,k310836,1,-,,,,,
,h575124,1,-,,,,,
,j496584,1,-,,,,,
,j494967,1,-,,,,,
,h569701,1,-,,,,,
,d505635,1,-,,,,,
,c244618,1,-,,,,,
,m331471,1,-,,,,,
,c195118,1,-,,,,,
,d387968,1,-,,,,,
10/27,K296866,1,-,,,,,
,E367520,1,-,,,,,
,F313045,1,-,,,,,
,A324559,1,-,,,,,
,J428450,1,-,,,,,
,D320670,1,-,,,,,
10/28,F561876,1,-,,,,,
,A251101,1,-,,,,,
,A209004 ,1,-,,,,,
,A374268,1,-,,,,,
,J254584,1,-,,,,,
,G344042,1,-,,,,,
,M336663,1,-,,,,,
,G212526,1,-,,,,,
,B296749,1,-,,,,,
,E398782,2,-,,,,,
,D538481,1,-,,,,,
,F494050,1,-,,,,,
,E535457,1,-,,,,,
,K218249,1,-,,,,,
,H453354,1,-,,,,,
,H575432,1,-,,,,,
,J445544,1,-,,,,,
,J425029,1,-,,,,,
,D522047,1,-,,,,,
,H387684,1,-,,,,,
,G269176,1,-,,,,,
,A247108,1,-,,,,,
,A396268,2,-,,,,,
,H308121,1,-,,,,,
,M463196,1,-,,,,,
,D434454,1,-,,,,,
,C196647,1,-,,,,,
,M495228,1,-,,,,,
,B452872,1,-,,,,,
,D540043,1,-,,,,,
,A278821,1,-,,,,,
,H337755,1,-,,,,,
,K359852,1,-,,,,,
,A364544,1,-,,,,,
,A351410,1,-,,,,,
,B472584,1,-,,,,,
,D359456,1,-,,,,,
,H507606,1,-,,,,,
,B451937,1,-,,,,,
,F537797,1,-,,,,,
,B410588,1,-,,,,,
,F444418,1,-,,,,,
,G186500,1,-,,,,,
,F560457,1,-,,,,,
,C383702,1,-,,,,,
,M435146,1,-,,,,,
,A225174,1,-,,,,,
,C380072,1,-,,,,,
,K277946,1,-,,,,,
,K438568,1,-,,,,,
,A189381,1,-,,,,,
,A216231,1,-,,,,,
,M319404,1,-,,,,,
,E390334,1,-,,,,,
,D382479,1,-,,,,,
,G291803,1,-,,,,,
,M370224,1,-,,,,,
,F474745 ,1,-,,,,,
,D408395,1,-,,,,,
,A275609,1,-,,,,,
,B265234,1,-,,,,,
,A263278,1,-,,,,,
,K356035,1,-,,,,,
,K235563,1,-,,,,,
,K278815,1,-,,,,,
,H479215,1,-,,,,,
,H394635,1,-,,,,,
,C127864,1,-,,,,,
,D431561,1,-,,,,,
,A408093,1,-,,,,,
,A385092,1,-,,,,,
,F383368,1,-,,,,,
,G373060,1,-,,,,,
,B482231,1,-,,,,,
,J412599,1,-,,,,,
,E404370,1,-,,,,,
,K383909,1,-,,,,,
,M504402,1,-,,,,,
,M518460,1,-,,,,,
,A405156,1,-,,,,,
,B374915,1,-,,,,,
,H488213,1,-,,,,,
,M350006,1,-,,,,,
,H579524,1,-,,,,,
,D528306,1,-,,,,,
,C114367,1,-,,,,,
,J339009,1,-,,,,,
,A403583,1,-,,,,,
,E517703,1,-,,,,,
,C267707,1,-,,,,,
,K385559,1,-,,,,,
,G334010,1,-,,,,,
,C318703,1,-,,,,,
,H568876,1,-,,,,,
,B400105,1,-,,,,,
,F544133,1,-,,,,,
,F448026,1,-,,,,,
,C265221,1,-,,,,,
,H561473,1,-,,,,,
,K451559,1,-,,,,,
,M328831,1,-,,,,,
,B364652,1,-,,,,,
,J302874,1,-,,,,,
,A309533,1,-,,,,,
,C243441,1,-,,,,,
,H385363,1,-,,,,,
,C304678,1,-,,,,,
,H330605,1,-,,,,,
10/29,F459543,1,-,,,,,
,G250762,1,-,,,,,
,D458533,1,-,,,,,
,D508748,1,-,,,,,
,F441855,1,-,,,,,
,M512707,1,-,,,,,
,K442143,1,-,,,,,
,B400655,1,-,,,,,
,C372152,1,-,,,,,
,J495484,1,-,,,,,
,A212084,1,-,,,,,
,E585386,1,-,,,,,
,B465654 ,1,-,,,,,
10/30,A186751,1,-,,,,,
,C334434,1,-,,,,,
,F371510,1,-,,,,,
,G172332,1,-,,,,,
,E431045,1,-,,,,,
,E379972,1,-,,,,,
,F564615,1,-,,,,,
,G278471,1,-,,,,,
,B500655,1,-,,,,,
,A384861,1,-,,,,,
,K256947,1,-,,,,,
,G173058,1,-,,,,,
,K224035,1,-,,,,,
,J426470,1,-,,,,,
,E499828,1,-,,,,,
,A208971,1,-,,,,,
,E505449,1,-,,,,,
,F425190,1,-,,,,,
,E487475,1,-,,,,,
,J270688,1,-,,,,,
,H419474,1,-,,,,,
,D538107,1,-,,,,,
,K435818,1,-,,,,,
,B472177,1,-,,,,,
,D459512,1,-,,,,,
,D522465,1,-,,,,,
,J308253,1,-,,,,,
,E537910,1,-,,,,,
,M513290,1,-,,,,,
,E409925,1,-,,,,,
,G248958,1,-,,,,,
,F534618,1,-,,,,,
,C223564,1,-,,,,,
,E579237,1,-,,,,,
,K197657,1,-,,,,,
,A321292,1,-,,,,,
,J442343,1,-,,,,,
,E571372,1,-,,,,,
,C378257,1,-,,,,,
,K441351,1,-,,,,,
,E432530,1,-,,,,,
,C225852,1,-,,,,,
,H493482,1,-,,,,,
,B487324,1,-,,,,,
,C299640,1,-,,,,,
,K447192,1,-,,,,,
,E572142,1,-,,,,,
,F376867,1,-,,,,,
,E450394,1,-,,,,,
,E582504,1,-,,,,,
,K440702,1,-,,,,,
,F548841,1,-,,,,,
,B404164,1,-,,,,,
,A245491,1,-,,,,,
,M410693,1,-,,,,,
,J319187,1,-,,,,,
,E479566,1,-,,,,,
,B356820,1,-,,,,,
,K297438,1,-,,,,,
,F546784,1,-,,,,,
,D470677,1,-,,,,,
,E583461,1,-,,,,,
,H557645,1,-,,,,,
,H532136,1,-,,,,,
,B436559,1,-,,,,,
,A399843,1,-,,,,,
10/31,m470676,1,-,,,,,
,C349987,1,ys,,,,,
,F543605,1,ys,,,,,
,E579710,1,ys,,,,,
,D356662,1,ys,Y,賣家已填單,,,
,B433655,1,ys,,,,,
,F561403,1,Jk,,,,,
,C385077,1,Jk,,,,,
,D519495,1,Jk,,,,,
,M502389,1,Jk,,,,,
,M497978,1,Jk,,,,,
,G298579,1,Jk,,,,,
,C228943,1,Jk,,,,,
,J490215,1,Jk,,,,,
,M480697,1,Jk,,,,,
,B422622,1,Jk,,,,,
,G112360,1,Jk,,,,,
,E584913,1,Jk,,,,,
,E571911,1,Jk,,,,,
11/1,D505481,1,YS,,,,,
,A388480,1,YS,,,,,
,C160666,1,YS,,,,,
,F558015,1,YS,,,,,
,E469864,1,YS,,,,,
,A206782,1,YS,,,,,
,C272866,1,YS,,,,,
,D362943,1,YS,,,,,
,D465727,1,YS,,,,,
,A372695,1,YS,,,,,
,B284308,1,YS,,,,,
,K450679,1,YS,,,,,
,C177738,1,YS,,,,,
,C319176,1,YS,,,,,
,D540615,1,YS,,,,,
,B327516,1,YS,,,,,
,J298870,1,YS,,,,,
,M474933,1,YS,Y,,,,
,C263846,1,YS,,,,,
,G359519,1,YS,,,,,
,G330127,1,YS,,,,,
,B365928,1,YS,,,,,
,C314215,1,YS,,,,,
,K225069,1,YS,,,,,
,J360943,1,Don,,,,,
,M366484,1,AN,,,,,
,J358886,1,AN,,,,,
,G207191,1,AN,,,,,
,D540318,1,AN,,,,,
,H401819,1,AN,,,,,
,J388894,1,AN,,,,,
,A343292,1,AN,,,,,
,G182738,1,AN,,,,,
,B487467,1,AN,,,,,
,F334550,1,AN,,,,,
,C379423,1,AN,,,,,
,F385227,1,AN,,,,,
,A187378,1,AN,,,,,
,E524688,1,AN,,,,,
,A406663,1,AN,,,,,
,H400158,1,AN,,,,,
,K446521,1,Yufi,,,,,
,G283850,1,AN,,,,,
,G370981,1,AN,,,,,
,A209004,1,AN,,,,,
,M397328,1,AN,,,,,
,H552453,1,AN,,,,,
,M490773,1,AN,,,,,
,J485342,1,AN,,,,,
,E336401,1,AN,,,,,
,F492147,1,AN,,,,,
,K220020,1,AN,,,,,
,E508606,1,AN,,,,,
,C203643,1,AN,,,,,
,H510653,1,AN,,,,,
,A264312,1,AN,,,,,
,B476874,1,AN,,,,,
,M518064,1,AN,,,,,
,A394772,1,AN,,,,,
,G318423,1,AN,,,,,
,H330682,1,AN,,,,,
,M519208,1,AN,,,,,
,M448874,1,AN,,,,,
,B483881,1,AN,,,,,
,D523609,1,AN,,,,,
,A385928,1,AN,,,,,
,C326986,1,AN,,,,,
,M519241,1,AN,,,,,
,H452430,1,AN,,,,,
,A284299,1,AN,,,,,
,E530474,1,AN,,,,,
,K278353,1,AN,,,,,
,E540033,1,AN,,,,,
,A333315,1,AN,,,,,
,H384791,1,AN,,,,,
,M481896,1,AN,,,,,
,A241124,1,AN,,,,,
,G337552,1,AN,,,,,
,M311693,1,AN,,,,,
,J501226,1,AN,,,,,
,J482372,1,AN,,,,,
,E576740,1,AN,,,,,
,D409011,1,AN,,,,,
,H472681,1,AN,,,,,
,B438099,1,AN,,,,,
,A325461,1,AN,,,,,
,H580833,1,AN,,,,,
,A407257,1,AN,,,,,
,D366980,1,AN,,,,,
,B478304,1,AN,,,,,
,H538428,1,AN,,,,,
,B340716,1,AN,,,,,
,G192440,1,AN,,,,,
,D537216,1,AN,,,,,
,F529987,1,AN,,,,,
,A404045,1,AN,,,,,
,G345296,1,AN,,,,,
,G186280,1,AN,,,,,
,M488837,1,AN,,,,,
,G363171,1,AN,,,,,
,B463234,1,Yufi,Y,,,,
,J286352,1,Yufi,,,,,
,G202846,1,Yufi,,,,,
,H533434,1,Yufi,,,,,
,G251884,1,Yufi,,,,,
,J308275,1,Yufi,,,,,
,F379331,1,Yufi,,,,,
,C307197,1,Yufi,,,,,
,K243010,1,Yufi,,,,,
,K334090,1,Yufi,,,,,
,C293029,1,Yufi,,,,,
,M333308,1,Yufi,,,,,
,H580371,1,Yufi,,,,,
,C376992,1,Don,,,,,
,C321233,1,Yufi,,,,,
,D512741,1,Don,,,,,
,G341490,1,Yufi,,,,,
,C338316,1,Don,,,,,
,G362005,1,Don,,,,,
,K333133,1,Don,,,,,
,H508420,1,Yufi,,,,,
,J248710,1,Yufi,,,,,
,J356840,1,Yufi,,,,,
,M298350,1,Yufi,,,,,
,C209286,1,Yufi,,,,,
,B371989,1,Yufi,,,,,
,A40463,1,Yufi,,,,,
,E541485,1,Yufi,,,,,
,H378829,1,Yufi,,,,,
,M301529,1,Yufi,,,,,
,F340556,1,Yufi,,,,,
,D47364,1,Yufi,,,,,
,G203407,1,Yufi,,,,,
,J497629,1,Yufi,,,,,
,K445531,1,Yufi,,,,,
,G373181,1,Yufi,,,,,
,G281606,1,Yufi,,,,,
,K383029,1,Yufi,,,,,
,K295436,1,Yufi,,,,,
,G281067,1,Yufi,,,,,
,A398919,1,Yufi,,,,,
,A234095,1,Yufi,,,,,
,D475352,1,Yufi,,,,,
,G339224,1,Yufi,,,,,
,C218141,1,Yufi,,,,,
,M351832,1,Yufi,,,,,
,A328145,1,Yufi,,,,,
,A384432,1,Yufi,,,,,
,D531408,1,Yufi,,,,,
,G366856,1,Yufi,,,,,
,H325677,1,Yufi,,,,,
,B391371,1,Yufi,,,,,
,D378981,1,AN,,,,,
,A343523,1,AN,,,,,
,E586255,1,AN,,,,,
,M456288,1,AN,,,,,
,F562327,1,AN,,,,,
,D456608,1,AN,,,,,
,G280759,1,AN,,,,,
,J424490,1,AN,,,,,
,G314870,1,AN,,,,,
,F557773,1,AN,,,,,
,G248859,1,AN,,,,,
,H465443,1,AN,,,,,
,G152697,1,AN,,,,,
,B314767,1,AN,,,,,
,K442363,1,AN,,,,,
,B279270,1,AN,,,,,
,B296276,1,AN,,,,,
,K420022,1,AN,,,,,
,A357317,1,AN,,,,,
,J417175,1,AN,,,,,
,A313900,1,AN,,,,,
,B385222,1,AN,,,,,
,A336824,1,AN,,,,,
,A208234,1,AN,,,,,
,E504239,1,AN,,,,,
,D525875,1,AN,,,,,
,E319285,1,AN,,,,,
,D531001,1,AN,,,,,
,D526821,1,AN,,,,,
,M433595,1,AN,,,,,
,A246525,1,AN,,,,,
,F548236,1,AN,,,,,
,K384426,1,AN,,,,,
,A399205,1,AN,,,,,
,E408825,1,AN,,,,,
,G360685,1,AN,,,,,
,J335126,1,AN,,,,,
,E473450,1,AN,,,,,
,D539768,1,AN,,,,,
,J309122,1,AN,,,,,
,C186824,1,AN,,,,,
,M342801,1,AN,,,,,
,H576356,1,AN,,,,,
,C127391,1,AN,,,,,
,H354057,1,AN,,,,,
,D527932,1,AN,,,,,
,J494318,1,AN,,,,,
,H503305,1,AN,,,,,
,D505580,1,Yufi,,,,,
,F553670,1,Yufi,,,,,
,G160848,1,Yufi,,,,,
,K356541,1,Yufi,,,,,
,C337568,1,Yufi,,,,,
,F378561,1,Yufi,,,,,
,M824446,1,Yufi,,,,,
,C269423,1,Yufi,,,,,
,G326695,1,Yufi,,,,,
,M358135,1,Yufi,,,,,
,F476813,1,Yufi,,,,,
,K191156,1,Yufi,,,,,
,H456335,1,Yufi,,,,,
,G198930,1,Yufi,,,,,
,E487497,1,Yufi,,,,,
,E552562,1,Yufi,,,,,
,D350106,1,Yufi,,,,,
,B266961,1,Yufi,,,,,
,J499202,1,Yufi,,,,,
,H577907,1,Yufi,,,,,
,J434335,1,Yufi,,,,,
,J477048,1,Yufi,,,,,
,G306675,1,Yufi,,,,,
,A402428,1,Yufi,,,,,
,D531826,1,Yufi,,,,,
,J478390,1,Yufi,,,,,
,B451728,1,Yufi,,,,,
,E597237,1,Yufi,,,,,
,C163339,1,Yufi,,,,,
,F479970,1,Yufi,,,,,
,C188012,1,Yufi,,,,,
,H403898,1,Yufi,,,,,
,C383548,1,Yufi,,,,,
,N431561,1,Yufi,,,,,
,A402461,1,Yufi,,,,,
,F405764,1,Yufi,,,,,
,H552893,1,Yufi,,,,,
,B464059,1,Yufi,,,,,
,G208071,1,Yufi,,,,,
,B350106,1,Yufi,,,,,
,A397060,1,Yufi,,,,,
,K228677,1,Yufi,,,,,
,F502212,1,Yufi,,,,,
,J403667,1,Yufi,,,,,
,M335629,1,Yufi,,,,,
,H480568,1,Yufi,,,,,
,C347468,1,Yufi,,,,,
,M258684,1,Yufi,,,,,
,J495462,1,Yufi,,,,,
,E585188,1,Yufi,,,,,
,F562569,1,AN,,,,,
,F335573,1,AN,,,,,
,M486109,1,AN,,,,,
,B289489,1,AN,,,,,
,K205819,1,AN,,,,,
,E421849,1,AN,,,,,
,F563658,1,AN,,,,,
,D363977,1,AN,,,,,
,J393547,1,AN,,,,,
,K334123,1,AN,,,,,
,D540725,1,AN,,,,,
,F475900,1,AN,,,,,
,G281826,1,AN,,,,,
,D327809,1,AN,,,,,
,G338289,1,AN,,,,,
,H400708,1,AN,,,,,
,M48097,1,AN,,,FALSE,,
,D540648,1,AN,,,,,
,M291618,1,AN,,,,,
,K311375,1,AN,,,,,
,E586244,1,AN,,,,,
,J498762,1,AN,,,,,
,E385670,1,AN,,,,,
,M310824,1,AN,,,,,
,H397298,1,AN,,,,,
,B415945,1,AN,,,,,
,D387726,1,AN,,,,,
,E563463,1,AN,,,,,
,K449150,1,AN,,,,,
,G153159,1,AN,,,,,
,J261668,1,AN,,,,,
,K448369,1,AN,,,,,
,K395371,1,AN,,,,,
,M288450,1,AN,,,,,
,F564527,1,AN,,,,,
,A199148,1,AN,,,,,
,K447434,1,AN,,,,,
,M517481,1,AN,,,,,
,J402908,1,AN,,,,,
,J423863,1,AN,,,,,
,F375811,1,AN,,,,,
,J279488,1,AN,,,,,
,B298894,1,AN,,,,,
,K278606,1,AN,,,,,
,B315009,1,AN,,,,,
,F465384,1,AN,,,,,
,G132204,1,AN,,,,,
,F497614,1,AN,,,,,
,C201597,1,AN,,,,,
,A255303,1,AN,,,,,
,H353023,1,AN,,,,,
,K386483,1,AN,,,,,
,A235019,1,AN,,,,,
,D516382,1,AN,,,,,
,A191525,1,AN,,,,,
,M325883,1,AN,,,,,
,A304649,1,AN,,,,,
,F345242,1,AN,,,,,
,F563592,1,AN,,,,,
,H549824,1,AN,,,,,
,H578787,1,AN,,,,,
,J501204,1,AN,,,,,
,G193221,1,AN,,,,,
,G305388,1,AN,,,,,
,H482108,1,AN,,,,,
,K353153,1,AN,,,,,
,H545996,1,AN,,,,,
,M4877440,1,AN,,,FALSE,,
,A304682,1,AN,,,,,
,M410715,1,AN,,,,,
,A243181,1,AN,,,,,
,M330635,1,AN,,,,,
,G214374,1,AN,,,,,
,E573231,1,AN,,,,,
,E365353,1,AN,,,,,
,K256188,1,AN,,,,,
,J384406,1,AN,,,,,
,A383541,1,AN,,,,,
,K246640,1,AN,,,,,
,C236742,1,AN,,,,,
,D499970,1,AN,,,,,
,F564791,1,AN,,,,,
,E586266,1,AN,,,,,
,A171582,1,AN,,,,,
,G304200,1,AN,,,,,
,B487555,1,AN,,,,,
,F536389,1,AN,,,,,
,J432652,1,AN,,,,,
,J494846,1,AN,,,,,
,F564736,1,AN,,,,,
,H360657,1,AN,,,,,
,F489573,1,AN,,,,,
,M316643,1,AN,,,,,
,G303727,1,AN,,,,,
,C180037,1,AN,,,,,
,C174130,1,AN,,,,,
,G152334,1,AN,,,,,
,F339753,1,AN,,,,,
,G311196,1,AN,,,,,
,M484085,1,AN,,,,,
,K418724,1,AN,,,,,
,M428018,1,AN,,,,,
,A350717,1,AN,,,,,
,G209512,1,AN,,,,,
,C386298,1,AN,,,,,
,M506085,1,AN,,,,,
,A408456,1,AN,,,,,
,J344476,1,AN,,,,,
,D527107,1,AN,,,,,
,B487357,1,AN,,,,,
,C232067,1,AN,,,,,
,K445487,1,AN,,,,,
,G344185,1,AN,,,,,
,H578127,1,AN,,,,,
,H393228,1,AN,,,,,
,D369081,1,AN,,,,,
,C278960,1,AN,,,,,
,F564813,1,AN,,,,,
,F534145,1,AN,,,,,
,D529626,1,AN,,,,,
,M418415,1,AN,,,,,
,K222539,1,AN,,,,,
,E313235,1,AN,,,,,
,M360214,1,AN,,,,,
,H556842,1,AN,,,,,
,F509725,1,AN,,,,,
,D461888,1,AN,,,,,
,D293720,1,AN,,,,,
,D482513,1,AN,,,,,
,G337871,1,AN,,,,,
,H564663,1,AN,,,,,
,F390771,1,AN,,,,,
,J495550,1,AN,,,,,
,E584682,1,AN,,,,,
,D291234,1,AN,,,,,
,D529384,1,AN,,,,,
,A216473,1,AN,,,,,
,F564824,1,AN,,,,,
,A408709,1,AN,,,,,
,B388918,1,AN,,,,,
,E569535,1,AN,,,,,
,B255477,1,AN,,,,,
,F386921,1,AN,,,,,
,A146271,1,AN,,,,,
,J464211,1,AN,,,,,
,C386408,1,AN,,,,,
,C377421,1,AN,,,,,
,F5566057,1,AN,,,FALSE,,
,C368599,1,AN,,,,,
,F496404,1,AN,,,,,
,D540747,1,AN,,,,,
,B487588,1,AN,,,,,
,B271471,1,AN,,,,,
,M367023,1,AN,,,,,
,M517921,1,AN,,,,,
,F406787,1,AN,,,,,
,B282075,1,AN,,,,,
,K433299,1,AN,,,,,
,J447931,1,AN,,,,,
,M392268,1,AN,,,,,
,D474912,1,AN,,,,,
,F386756,1,AN,,,,,
,K446906,1,AN,,,,,
,C385286,1,AN,,,,,
,A258108,1,AN,,,,,
,F52221,1,AN,,,FALSE,,
,A257503,1,AN,,,,,
,K435334,1,AN,,,,,
,K199758,1,AN,,,,,
,E561549,1,AN,,,,,
,H433895,1,AN,,,,,
,K314301,1,AN,,,,,
,C334433,1,AN,,,,,
,M487968,1,AN,,,,,
,B476236,1,AN,,,,,
,F564461,1,AN,,,,,
,J383383,1,AN,,,,,
,K349050,1,AN,,,,,
,G275633,1,AN,,,,,
,M381367,1,AN,,,,,
,D450239,1,AN,,,,,
,C246972,1,AN,,,,,
,B356402,1,AN,,,,,
,M433474,1,AN,,,,,
,G298238,1,AN,,,,,
,B322005,1,AN,,,,,
,A302031,1,AN,,,,,
,M354725,1,AN,,,,,
,C181522,1,AN,,,,,
,B454071,1,AN,,,,,
,D375307,1,AN,,,,,
,H410663,1,AN,,,,,
,M295710,1,AN,,,,,
,G184850,1,AN,,,,,
,K450107,1,AN,,,,,
,J488554,1,AN,,,,,
,C308495,1,AN,,,,,
,D538602,1,AN,,,,,
,K323530,1,AN,,,,,
,H573342,1,AN,,,,,
,E542354,1,Yufi,,,,,
,M36381,1,Yufi,,,,,
,A309621,1,Yufi,,,,,
,D528592,1,Yufi,,,,,
,G336639,1,Yufi,,,,,
,F340391,1,Yufi,,,,,
,G368099,1,Yufi,,,,,
,B483452,1,Yufi,,,,,
,F548192,1,Yufi,,,,,
,B315306,1,Yufi,,,,,
,M518614,1,Yufi,,,,,
,B295572,1,Yufi,,,,,
,K439393,1,Yufi,,,,,
,E569931,1,Yufi,,,,,
,H415316,1,Yufi,,,,,
,C385990,1,Yufi,,,,,
,D427810,1,Yufi,,,,,
,E371799,1,Yufi,,,,,
,H557095,1,Yufi,,,,,
,F406270,1,Yufi,,,,,
,G345637,1,Yufi,,,,,
,A136756,1,Yufi,,,,,
,H576301,1,Yufi,,,,,
,K444387,1,Yufi,,,,,
,C355399,1,Yufi,,,,,
,M368761,1,Yufi,,,,,
,B451409,1,Yufi,,,,,
,K257252,1,Yufi,,,,,
,J500808,1,Yufi,,,,,
,H526196,1,Yufi,,,,,
,K235618,1,Yufi,,,,,
,B483034,1,Yufi,,,,,
,B482759,1,Yufi,,,,,
